id,CATEGORY,SENTIMENT,SCORE,REVLEN
140294,0.41,0.26,0.28,0.05
140295,0.41,0.26,0.29,0.04
140296,0.41,0.26,0.3,0.03
140297,0.41,0.26,0.31,0.02
140298,0.41,0.26,0.32,0.01
140299,0.41,0.26,0.33,0.0
140300,0.41,0.27,0.0,0.32
140301,0.41,0.27,0.01,0.31
140302,0.41,0.27,0.02,0.3
140303,0.41,0.27,0.03,0.29
140304,0.41,0.27,0.04,0.28
140305,0.41,0.27,0.05,0.27
140306,0.41,0.27,0.06,0.26
140307,0.41,0.27,0.07,0.25
140308,0.41,0.27,0.08,0.24
140309,0.41,0.27,0.09,0.23
140310,0.41,0.27,0.1,0.22
140311,0.41,0.27,0.11,0.21
140312,0.41,0.27,0.12,0.2
140313,0.41,0.27,0.13,0.19
140314,0.41,0.27,0.14,0.18
140315,0.41,0.27,0.15,0.17
140316,0.41,0.27,0.16,0.16
140317,0.41,0.27,0.17,0.15
140318,0.41,0.27,0.18,0.14
140319,0.41,0.27,0.19,0.13
140320,0.41,0.27,0.2,0.12
140321,0.41,0.27,0.21,0.11
140322,0.41,0.27,0.22,0.1
140323,0.41,0.27,0.23,0.09
140324,0.41,0.27,0.24,0.08
140325,0.41,0.27,0.25,0.07
140326,0.41,0.27,0.26,0.06
140327,0.41,0.27,0.27,0.05
140328,0.41,0.27,0.28,0.04
140329,0.41,0.27,0.29,0.03
140330,0.41,0.27,0.3,0.02
140331,0.41,0.27,0.31,0.01
140332,0.41,0.27,0.32,0.0
140333,0.41,0.28,0.0,0.31
140334,0.41,0.28,0.01,0.3
140335,0.41,0.28,0.02,0.29
140336,0.41,0.28,0.03,0.28
140337,0.41,0.28,0.04,0.27
140338,0.41,0.28,0.05,0.26
140339,0.41,0.28,0.06,0.25
140340,0.41,0.28,0.07,0.24
140341,0.41,0.28,0.08,0.23
140342,0.41,0.28,0.09,0.22
140343,0.41,0.28,0.1,0.21
140344,0.41,0.28,0.11,0.2
140345,0.41,0.28,0.12,0.19
140346,0.41,0.28,0.13,0.18
140347,0.41,0.28,0.14,0.17
140348,0.41,0.28,0.15,0.16
140349,0.41,0.28,0.16,0.15
140350,0.41,0.28,0.17,0.14
140351,0.41,0.28,0.18,0.13
140352,0.41,0.28,0.19,0.12
140353,0.41,0.28,0.2,0.11
140354,0.41,0.28,0.21,0.1
140355,0.41,0.28,0.22,0.09
140356,0.41,0.28,0.23,0.08
140357,0.41,0.28,0.24,0.07
140358,0.41,0.28,0.25,0.06
140359,0.41,0.28,0.26,0.05
140360,0.41,0.28,0.27,0.04
140361,0.41,0.28,0.28,0.03
140362,0.41,0.28,0.29,0.02
140363,0.41,0.28,0.3,0.01
140364,0.41,0.28,0.31,0.0
140365,0.41,0.29,0.0,0.3
140366,0.41,0.29,0.01,0.29
140367,0.41,0.29,0.02,0.28
140368,0.41,0.29,0.03,0.27
140369,0.41,0.29,0.04,0.26
140370,0.41,0.29,0.05,0.25
140371,0.41,0.29,0.06,0.24
140372,0.41,0.29,0.07,0.23
140373,0.41,0.29,0.08,0.22
140374,0.41,0.29,0.09,0.21
140375,0.41,0.29,0.1,0.2
140376,0.41,0.29,0.11,0.19
140377,0.41,0.29,0.12,0.18
140378,0.41,0.29,0.13,0.17
140379,0.41,0.29,0.14,0.16
140380,0.41,0.29,0.15,0.15
140381,0.41,0.29,0.16,0.14
140382,0.41,0.29,0.17,0.13
140383,0.41,0.29,0.18,0.12
140384,0.41,0.29,0.19,0.11
140385,0.41,0.29,0.2,0.1
140386,0.41,0.29,0.21,0.09
140387,0.41,0.29,0.22,0.08
140388,0.41,0.29,0.23,0.07
140389,0.41,0.29,0.24,0.06
140390,0.41,0.29,0.25,0.05
140391,0.41,0.29,0.26,0.04
140392,0.41,0.29,0.27,0.03
140393,0.41,0.29,0.28,0.02
140394,0.41,0.29,0.29,0.01
140395,0.41,0.29,0.3,0.0
140396,0.41,0.3,0.0,0.29
140397,0.41,0.3,0.01,0.28
140398,0.41,0.3,0.02,0.27
140399,0.41,0.3,0.03,0.26
140400,0.41,0.3,0.04,0.25
140401,0.41,0.3,0.05,0.24
140402,0.41,0.3,0.06,0.23
140403,0.41,0.3,0.07,0.22
140404,0.41,0.3,0.08,0.21
140405,0.41,0.3,0.09,0.2
140406,0.41,0.3,0.1,0.19
140407,0.41,0.3,0.11,0.18
140408,0.41,0.3,0.12,0.17
140409,0.41,0.3,0.13,0.16
140410,0.41,0.3,0.14,0.15
140411,0.41,0.3,0.15,0.14
140412,0.41,0.3,0.16,0.13
140413,0.41,0.3,0.17,0.12
140414,0.41,0.3,0.18,0.11
140415,0.41,0.3,0.19,0.1
140416,0.41,0.3,0.2,0.09
140417,0.41,0.3,0.21,0.08
140418,0.41,0.3,0.22,0.07
140419,0.41,0.3,0.23,0.06
140420,0.41,0.3,0.24,0.05
140421,0.41,0.3,0.25,0.04
140422,0.41,0.3,0.26,0.03
140423,0.41,0.3,0.27,0.02
140424,0.41,0.3,0.28,0.01
140425,0.41,0.3,0.29,0.0
140426,0.41,0.31,0.0,0.28
140427,0.41,0.31,0.01,0.27
140428,0.41,0.31,0.02,0.26
140429,0.41,0.31,0.03,0.25
140430,0.41,0.31,0.04,0.24
140431,0.41,0.31,0.05,0.23
140432,0.41,0.31,0.06,0.22
140433,0.41,0.31,0.07,0.21
140434,0.41,0.31,0.08,0.2
140435,0.41,0.31,0.09,0.19
140436,0.41,0.31,0.1,0.18
140437,0.41,0.31,0.11,0.17
140438,0.41,0.31,0.12,0.16
140439,0.41,0.31,0.13,0.15
140440,0.41,0.31,0.14,0.14
140441,0.41,0.31,0.15,0.13
140442,0.41,0.31,0.16,0.12
140443,0.41,0.31,0.17,0.11
140444,0.41,0.31,0.18,0.1
140445,0.41,0.31,0.19,0.09
140446,0.41,0.31,0.2,0.08
140447,0.41,0.31,0.21,0.07
140448,0.41,0.31,0.22,0.06
140449,0.41,0.31,0.23,0.05
140450,0.41,0.31,0.24,0.04
140451,0.41,0.31,0.25,0.03
140452,0.41,0.31,0.26,0.02
140453,0.41,0.31,0.27,0.01
140454,0.41,0.31,0.28,0.0
140455,0.41,0.32,0.0,0.27
140456,0.41,0.32,0.01,0.26
140457,0.41,0.32,0.02,0.25
140458,0.41,0.32,0.03,0.24
140459,0.41,0.32,0.04,0.23
140460,0.41,0.32,0.05,0.22
140461,0.41,0.32,0.06,0.21
140462,0.41,0.32,0.07,0.2
140463,0.41,0.32,0.08,0.19
140464,0.41,0.32,0.09,0.18
140465,0.41,0.32,0.1,0.17
140466,0.41,0.32,0.11,0.16
140467,0.41,0.32,0.12,0.15
140468,0.41,0.32,0.13,0.14
140469,0.41,0.32,0.14,0.13
140470,0.41,0.32,0.15,0.12
140471,0.41,0.32,0.16,0.11
140472,0.41,0.32,0.17,0.1
140473,0.41,0.32,0.18,0.09
140474,0.41,0.32,0.19,0.08
140475,0.41,0.32,0.2,0.07
140476,0.41,0.32,0.21,0.06
