id,CATEGORY,SENTIMENT,SCORE,ENTROPY
160460,0.55,0.27,0.14,0.04
160461,0.55,0.27,0.15,0.03
160462,0.55,0.27,0.16,0.02
160463,0.55,0.27,0.17,0.01
160464,0.55,0.27,0.18,0.0
160465,0.55,0.28,0.0,0.17
160466,0.55,0.28,0.01,0.16
160467,0.55,0.28,0.02,0.15
160468,0.55,0.28,0.03,0.14
160469,0.55,0.28,0.04,0.13
160470,0.55,0.28,0.05,0.12
160471,0.55,0.28,0.06,0.11
160472,0.55,0.28,0.07,0.1
160473,0.55,0.28,0.08,0.09
160474,0.55,0.28,0.09,0.08
160475,0.55,0.28,0.1,0.07
160476,0.55,0.28,0.11,0.06
160477,0.55,0.28,0.12,0.05
160478,0.55,0.28,0.13,0.04
160479,0.55,0.28,0.14,0.03
160480,0.55,0.28,0.15,0.02
160481,0.55,0.28,0.16,0.01
160482,0.55,0.28,0.17,0.0
160483,0.55,0.29,0.0,0.16
160484,0.55,0.29,0.01,0.15
160485,0.55,0.29,0.02,0.14
160486,0.55,0.29,0.03,0.13
160487,0.55,0.29,0.04,0.12
160488,0.55,0.29,0.05,0.11
160489,0.55,0.29,0.06,0.1
160490,0.55,0.29,0.07,0.09
160491,0.55,0.29,0.08,0.08
160492,0.55,0.29,0.09,0.07
160493,0.55,0.29,0.1,0.06
160494,0.55,0.29,0.11,0.05
160495,0.55,0.29,0.12,0.04
160496,0.55,0.29,0.13,0.03
160497,0.55,0.29,0.14,0.02
160498,0.55,0.29,0.15,0.01
160499,0.55,0.29,0.16,0.0
160500,0.55,0.3,0.0,0.15
160501,0.55,0.3,0.01,0.14
160502,0.55,0.3,0.02,0.13
160503,0.55,0.3,0.03,0.12
160504,0.55,0.3,0.04,0.11
160505,0.55,0.3,0.05,0.1
160506,0.55,0.3,0.06,0.09
160507,0.55,0.3,0.07,0.08
160508,0.55,0.3,0.08,0.07
160509,0.55,0.3,0.09,0.06
160510,0.55,0.3,0.1,0.05
160511,0.55,0.3,0.11,0.04
160512,0.55,0.3,0.12,0.03
160513,0.55,0.3,0.13,0.02
160514,0.55,0.3,0.14,0.01
160515,0.55,0.3,0.15,0.0
160516,0.55,0.31,0.0,0.14
160517,0.55,0.31,0.01,0.13
160518,0.55,0.31,0.02,0.12
160519,0.55,0.31,0.03,0.11
160520,0.55,0.31,0.04,0.1
160521,0.55,0.31,0.05,0.09
160522,0.55,0.31,0.06,0.08
160523,0.55,0.31,0.07,0.07
160524,0.55,0.31,0.08,0.06
160525,0.55,0.31,0.09,0.05
160526,0.55,0.31,0.1,0.04
160527,0.55,0.31,0.11,0.03
160528,0.55,0.31,0.12,0.02
160529,0.55,0.31,0.13,0.01
160530,0.55,0.31,0.14,0.0
160531,0.55,0.32,0.0,0.13
160532,0.55,0.32,0.01,0.12
160533,0.55,0.32,0.02,0.11
160534,0.55,0.32,0.03,0.1
160535,0.55,0.32,0.04,0.09
160536,0.55,0.32,0.05,0.08
160537,0.55,0.32,0.06,0.07
160538,0.55,0.32,0.07,0.06
160539,0.55,0.32,0.08,0.05
160540,0.55,0.32,0.09,0.04
160541,0.55,0.32,0.1,0.03
160542,0.55,0.32,0.11,0.02
160543,0.55,0.32,0.12,0.01
160544,0.55,0.32,0.13,0.0
160545,0.55,0.33,0.0,0.12
160546,0.55,0.33,0.01,0.11
160547,0.55,0.33,0.02,0.1
160548,0.55,0.33,0.03,0.09
160549,0.55,0.33,0.04,0.08
160550,0.55,0.33,0.05,0.07
160551,0.55,0.33,0.06,0.06
160552,0.55,0.33,0.07,0.05
160553,0.55,0.33,0.08,0.04
160554,0.55,0.33,0.09,0.03
160555,0.55,0.33,0.1,0.02
160556,0.55,0.33,0.11,0.01
160557,0.55,0.33,0.12,0.0
160558,0.55,0.34,0.0,0.11
160559,0.55,0.34,0.01,0.1
160560,0.55,0.34,0.02,0.09
160561,0.55,0.34,0.03,0.08
160562,0.55,0.34,0.04,0.07
160563,0.55,0.34,0.05,0.06
160564,0.55,0.34,0.06,0.05
160565,0.55,0.34,0.07,0.04
160566,0.55,0.34,0.08,0.03
160567,0.55,0.34,0.09,0.02
160568,0.55,0.34,0.1,0.01
160569,0.55,0.34,0.11,0.0
160570,0.55,0.35,0.0,0.1
160571,0.55,0.35,0.01,0.09
160572,0.55,0.35,0.02,0.08
160573,0.55,0.35,0.03,0.07
160574,0.55,0.35,0.04,0.06
160575,0.55,0.35,0.05,0.05
160576,0.55,0.35,0.06,0.04
160577,0.55,0.35,0.07,0.03
160578,0.55,0.35,0.08,0.02
160579,0.55,0.35,0.09,0.01
160580,0.55,0.35,0.1,0.0
160581,0.55,0.36,0.0,0.09
160582,0.55,0.36,0.01,0.08
160583,0.55,0.36,0.02,0.07
160584,0.55,0.36,0.03,0.06
160585,0.55,0.36,0.04,0.05
160586,0.55,0.36,0.05,0.04
160587,0.55,0.36,0.06,0.03
160588,0.55,0.36,0.07,0.02
160589,0.55,0.36,0.08,0.01
160590,0.55,0.36,0.09,0.0
160591,0.55,0.37,0.0,0.08
160592,0.55,0.37,0.01,0.07
160593,0.55,0.37,0.02,0.06
160594,0.55,0.37,0.03,0.05
160595,0.55,0.37,0.04,0.04
160596,0.55,0.37,0.05,0.03
160597,0.55,0.37,0.06,0.02
160598,0.55,0.37,0.07,0.01
160599,0.55,0.37,0.08,0.0
160600,0.55,0.38,0.0,0.07
160601,0.55,0.38,0.01,0.06
160602,0.55,0.38,0.02,0.05
160603,0.55,0.38,0.03,0.04
160604,0.55,0.38,0.04,0.03
160605,0.55,0.38,0.05,0.02
160606,0.55,0.38,0.06,0.01
160607,0.55,0.38,0.07,0.0
160608,0.55,0.39,0.0,0.06
160609,0.55,0.39,0.01,0.05
160610,0.55,0.39,0.02,0.04
160611,0.55,0.39,0.03,0.03
160612,0.55,0.39,0.04,0.02
160613,0.55,0.39,0.05,0.01
160614,0.55,0.39,0.06,0.0
160615,0.55,0.4,0.0,0.05
160616,0.55,0.4,0.01,0.04
160617,0.55,0.4,0.02,0.03
160618,0.55,0.4,0.03,0.02
160619,0.55,0.4,0.04,0.01
160620,0.55,0.4,0.05,0.0
160621,0.55,0.41,0.0,0.04
160622,0.55,0.41,0.01,0.03
160623,0.55,0.41,0.02,0.02
160624,0.55,0.41,0.03,0.01
160625,0.55,0.41,0.04,0.0
160626,0.55,0.42,0.0,0.03
160627,0.55,0.42,0.01,0.02
160628,0.55,0.42,0.02,0.01
160629,0.55,0.42,0.03,0.0
160630,0.55,0.43,0.0,0.02
160631,0.55,0.43,0.01,0.01
160632,0.55,0.43,0.02,0.0
160633,0.55,0.44,0.0,0.01
160634,0.55,0.44,0.01,0.0
160635,0.55,0.45,0.0,0.0
160636,0.56,0.0,0.0,0.44
160637,0.56,0.0,0.01,0.43
160638,0.56,0.0,0.02,0.42
160639,0.56,0.0,0.03,0.41
160640,0.56,0.0,0.04,0.4
160641,0.56,0.0,0.05,0.39
160642,0.56,0.0,0.06,0.38
160643,0.56,0.0,0.07,0.37
160644,0.56,0.0,0.08,0.36
160645,0.56,0.0,0.09,0.35
160646,0.56,0.0,0.1,0.34
160647,0.56,0.0,0.11,0.33
160648,0.56,0.0,0.12,0.32
160649,0.56,0.0,0.13,0.31
160650,0.56,0.0,0.14,0.3
160651,0.56,0.0,0.15,0.29
160652,0.56,0.0,0.16,0.28
160653,0.56,0.0,0.17,0.27
160654,0.56,0.0,0.18,0.26
160655,0.56,0.0,0.19,0.25
160656,0.56,0.0,0.2,0.24
160657,0.56,0.0,0.21,0.23
160658,0.56,0.0,0.22,0.22
160659,0.56,0.0,0.23,0.21
160660,0.56,0.0,0.24,0.2
160661,0.56,0.0,0.25,0.19
160662,0.56,0.0,0.26,0.18
160663,0.56,0.0,0.27,0.17
160664,0.56,0.0,0.28,0.16
160665,0.56,0.0,0.29,0.15
160666,0.56,0.0,0.3,0.14
160667,0.56,0.0,0.31,0.13
160668,0.56,0.0,0.32,0.12
160669,0.56,0.0,0.33,0.11
160670,0.56,0.0,0.34,0.1
160671,0.56,0.0,0.35,0.09
160672,0.56,0.0,0.36,0.08
160673,0.56,0.0,0.37,0.07
160674,0.56,0.0,0.38,0.06
160675,0.56,0.0,0.39,0.05
160676,0.56,0.0,0.4,0.04
160677,0.56,0.0,0.41,0.03
160678,0.56,0.0,0.42,0.02
160679,0.56,0.0,0.43,0.01
160680,0.56,0.0,0.44,0.0
160681,0.56,0.01,0.0,0.43
160682,0.56,0.01,0.01,0.42
160683,0.56,0.01,0.02,0.41
160684,0.56,0.01,0.03,0.4
160685,0.56,0.01,0.04,0.39
160686,0.56,0.01,0.05,0.38
160687,0.56,0.01,0.06,0.37
160688,0.56,0.01,0.07,0.36
160689,0.56,0.01,0.08,0.35
